id,center_x,center_y,time,x,y,w,h
113,834,890,80,815.0,866.0,39.0,48.0
55,671,619,80,660.0,603.0,23.0,33.0
29,1127,1025,81,1102.0,1013.0,50.0,25.0
113,836,890,81,817.0,866.0,38.0,48.0
21,1015,653,81,1003.0,632.0,25.0,42.0
55,671,619,81,660.0,603.0,23.0,33.0
43,394,820,81,370.0,803.0,49.0,35.0
59,297,654,81,281.0,639.0,33.0,30.0
43,394,826,82,370.0,801.0,48.0,50.0
113,835,889,82,816.0,866.0,39.0,46.0
29,1126,1025,82,1101.0,1013.0,51.0,25.0
21,1015,652,82,1003.0,631.0,25.0,43.0
55,671,619,82,660.0,603.0,23.0,33.0
59,298,653,82,281.0,638.0,34.0,31.0
55,672,620,83,660.0,603.0,24.0,34.0
113,836,889,83,817.0,867.0,38.0,45.0
29,1125,1026,83,1101.0,1012.0,49.0,28.0
21,1015,653,83,1003.0,633.0,25.0,41.0
59,310,642,83,281.0,615.0,59.0,54.0
43,394,826,83,371.0,801.0,47.0,51.0
29,1124,1026,84,1101.0,1012.0,47.0,28.0
113,834,888,84,813.0,867.0,42.0,43.0
59,425,665,84,409.0,644.0,32.0,42.0
55,672,620,84,660.0,603.0,24.0,34.0
43,395,826,84,372.0,801.0,46.0,50.0
21,1015,653,84,1003.0,633.0,25.0,41.0
64,301,432,84,290.0,418.0,23.0,29.0
29,1124,1025,85,1100.0,1013.0,48.0,24.0
113,833,889,85,812.0,867.0,43.0,44.0
43,394,827,85,371.0,801.0,46.0,52.0
21,1015,653,85,1003.0,633.0,25.0,41.0
64,302,430,85,290.0,415.0,24.0,31.0
59,298,653,85,282.0,638.0,33.0,31.0
55,673,620,85,661.0,603.0,24.0,34.0
43,394,827,86,372.0,801.0,44.0,53.0
64,303,423,86,291.0,400.0,25.0,46.0
55,673,620,86,661.0,603.0,24.0,34.0
29,1123,1023,86,1099.0,1013.0,48.0,21.0
21,1015,653,86,1003.0,633.0,24.0,40.0
59,424,664,86,409.0,644.0,31.0,41.0
113,836,888,86,817.0,866.0,38.0,45.0
55,673,620,87,661.0,603.0,24.0,34.0
59,344,661,87,326.0,641.0,37.0,40.0
113,835,895,87,817.0,879.0,37.0,32.0
21,1015,653,87,1003.0,633.0,24.0,40.0
29,1120,1023,87,1094.0,1013.0,53.0,20.0
43,394,830,87,373.0,801.0,43.0,58.0
64,304,422,87,292.0,399.0,25.0,47.0
29,1119,1022,88,1092.0,1013.0,54.0,19.0
55,673,620,88,661.0,603.0,24.0,34.0
43,394,830,88,373.0,801.0,43.0,58.0
64,305,429,88,291.0,412.0,29.0,34.0
